Locode,Phrase,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,AvgMsv,Competition,CostPerClick
AU,david tennant,22200.0,18100.0,14800.0,14800.0,12100.0,12100.0,12100.0,12100.0,12100.0,12100.0,12100.0,22200.0,14800.0,0.002273377,0.7826919999999999
AU,dayton airport,20.0,20.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,20.0,10.0,20.0,10.0,0.10204081632653,
AU,dday,8100.0,9900.0,14800.0,6600.0,8100.0,6600.0,6600.0,8100.0,5400.0,5400.0,8100.0,8100.0,8100.0,0.008331072346265999,0.976179
AU,ddd,3600.0,4400.0,3600.0,3600.0,4400.0,3600.0,3600.0,3600.0,2900.0,2900.0,3600.0,4400.0,3600.0,0.029070585000000006,1.815665
AU,deadmau5,6600.0,6600.0,5400.0,5400.0,5400.0,5400.0,5400.0,8100.0,9900.0,6600.0,6600.0,5400.0,6600.0,0.01179313,1.581171
AU,delonghi espresso machine,390.0,260.0,390.0,390.0,390.0,260.0,390.0,320.0,590.0,480.0,320.0,480.0,390.0,1.0,0.8642299999999999
AU,denim joggers,260.0,320.0,260.0,260.0,260.0,260.0,260.0,210.0,210.0,170.0,170.0,320.0,260.0,1.0,1.195006
AU,dentist reviews,140.0,170.0,140.0,90.0,110.0,140.0,140.0,170.0,90.0,170.0,110.0,140.0,140.0,0.43528283799999995,4.607606
AU,dex lnows,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,
AU,diabetes,40500.0,49500.0,33100.0,33100.0,40500.0,33100.0,33100.0,33100.0,22200.0,27100.0,33100.0,40500.0,33100.0,0.26317677300000003,0.828858
AU,diabetic diet plans,480.0,720.0,480.0,590.0,590.0,720.0,590.0,720.0,390.0,590.0,590.0,720.0,590.0,0.59183673469388,1.09951
AU,diapers delivery,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.35714285700000004,
AU,digital marketing,3600.0,4400.0,4400.0,3600.0,4400.0,4400.0,4400.0,4400.0,2900.0,4400.0,5400.0,6600.0,4400.0,0.7579496920000001,13.782430999999999
AU,dinner jacket,480.0,390.0,390.0,390.0,480.0,480.0,480.0,480.0,320.0,390.0,320.0,390.0,390.0,1.0,1.563172
AU,direct drive turntables,110.0,110.0,110.0,90.0,90.0,110.0,110.0,110.0,140.0,110.0,110.0,90.0,110.0,1.0,0.468486
AU,disneyland halloween party,10.0,20.0,30.0,70.0,20.0,20.0,10.0,10.0,10.0,20.0,10.0,20.0,20.0,0.11607142857142999,
AU,diversity and inclusion,260.0,390.0,390.0,260.0,320.0,320.0,320.0,320.0,210.0,260.0,390.0,480.0,320.0,0.1566265060241,1.343733
AU,dividing decimals,590.0,880.0,720.0,480.0,1000.0,590.0,590.0,720.0,140.0,210.0,590.0,880.0,590.0,0.003902273498473,1.076075
AU,dmv oregon,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,0.14285714285714002,
AU,do i need a boat license,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,,
AU,dodd frank,720.0,720.0,480.0,480.0,390.0,390.0,480.0,3600.0,480.0,1000.0,4400.0,1000.0,1300.0,0.024900397999999997,0.072074
AU,dogecoin,1300.0,1600.0,1300.0,1000.0,1300.0,1000.0,1000.0,880.0,880.0,1000.0,1000.0,1600.0,1000.0,0.041521857999999995,2.099384
AU,dogwood flower,170.0,170.0,140.0,140.0,390.0,210.0,480.0,480.0,320.0,260.0,170.0,170.0,260.0,0.08648648648648599,0.282506
